,IPRC,ISTRAC,LPSC,MCF,NRSC,PRL,SAC,SCL,SDSC,URSC,VSSC
0,1,6,1,1,2,2,3,2,5,5,5
1,1,6,1,1,2,2,3,2,5,4,5
2,1,6,1,1,2,2,3,2,5,3,5
3,1,6,1,1,2,2,3,2,5,2,5
4,1,6,1,1,2,2,3,2,5,2,4
5,1,6,1,1,2,2,2,2,5,2,4
6,1,6,1,1,2,2,2,2,5,2,3
7,1,6,1,1,2,2,2,2,5,1,3
8,1,6,1,1,2,2,2,2,5,0,3
9,1,6,1,1,2,2,1,2,5,0,3
10,1,6,1,1,2,2,1,2,5,0,2
11,1,6,1,1,2,1,1,2,5,0,2
12,1,6,1,1,2,1,0,2,5,0,2
13,1,6,1,1,1,1,0,2,5,0,2
14,1,6,1,1,1,1,0,2,5,0,1
15,1,5,1,1,1,1,0,2,5,0,1
16,1,5,1,1,0,1,0,2,5,0,1
17,1,5,1,1,0,1,0,2,5,0,0
18,1,5,0,1,0,1,0,2,5,0,0
19,1,4,0,1,0,1,0,2,5,0,0
20,1,4,0,1,0,1,0,1,5,0,0
21,1,3,0,1,0,1,0,1,5,0,0
22,1,2,0,1,0,1,0,1,5,0,0
23,1,1,0,1,0,1,0,1,5,0,0
24,1,1,0,1,0,0,0,1,5,0,0
25,1,0,0,1,0,0,0,1,5,0,0
26,1,0,0,1,0,0,0,1,4,0,0
27,1,0,0,1,0,0,0,1,3,0,0
28,1,0,0,1,0,0,0,1,2,0,0
29,1,0,0,1,0,0,0,1,1,0,0
30,1,0,0,1,0,0,0,0,1,0,0
31,0,0,0,1,0,0,0,0,1,0,0
